PEDIDO_ERP;CANAL_MARKETING
P10000123123;Google Ads
P10000123124;Facebook Ads
P10000123125;Email
P10000123126;Direto
P10000123127;Busca orgânica
P10000123128;Busca orgânica
P10000123129;Direto
P10000123130;Outros
P10000123131;Google Ads
P10000123132;Facebook Ads
P10000123133;Facebook Ads
P10000123134;Email
P10000123135;
P10000123136;Busca orgânica
P10000123137;Busca orgânica
P10000123138;Google Ads
P10000123139;Google Ads
P10000123140;Email
P10000123141;Facebook Ads
P10000123142;Direto
P10000123143;Facebook Ads
P10000123144;Facebook Ads
P10000123145;Google Ads
P10000123146;Direto
P10000123147;Google Ads
P10000123148;Facebook Ads
P10000123149;Google Ads
P10000123150;Google Ads
P10000123151;Busca orgânica
P10000123152;Google Ads
P10000123153;Direto
P10000123154;Google Ads
P10000123155;Google Ads
P10000123156;Facebook Ads
P10000123157;Facebook Ads
P10000123158;Google Ads
P10000123159;Google Ads
P10000123160;Busca orgânica
P10000123161;Facebook Ads
P10000123162;Google Ads
P10000123163;Google Ads
P10000123164;Busca orgânica
P10000123165;Facebook Ads
P10000123166;Busca orgânica
P10000123167;
P10000123168;Email
P10000123169;Google Ads
P10000123170;Google Ads
P10000123171;Busca orgânica
P10000123172;Busca orgânica
P10000123173;Google Ads
P10000123174;Google Ads
P10000123175;
P10000123176;Direto
P10000123177;Direto
P10000123178;Facebook Ads
P10000123179;Google Ads
P10000123180;Email
P10000123181;Busca orgânica
P10000123182;Direto
P10000123183;Google Ads
P10000123184;Busca orgânica
P10000123185;Outros
P10000123186;Google Ads
P10000123187;Google Ads
P10000123188;Busca orgânica
P10000123189;Facebook Ads
P10000123190;Google Ads
P10000123191;Google Ads
P10000123192;Google Ads
P10000123193;Facebook Ads
P10000123194;Facebook Ads
P10000123195;Google Ads
P10000123196;Google Ads
P10000123197;Google Ads
P10000123198;Referência
P10000123199;Google Ads
P10000123200;Busca orgânica
P10000123201;Google Ads
P10000123202;Facebook Ads
P10000123203;Busca orgânica
P10000123204;Direto
P10000123205;Direto
P10000123206;Email
P10000123207;Direto
P10000123208;Busca orgânica
P10000123209;Direto
P10000123210;Google Ads
P10000123211;Busca orgânica
P10000123212;Outros
P10000123213;Google Ads
P10000123214;Busca orgânica
P10000123215;Google Ads
P10000123216;Busca orgânica
P10000123217;Busca orgânica
P10000123218;Direto
P10000123219;Google Ads
P10000123220;Google Ads
P10000123221;Busca orgânica
P10000123222;Google Ads
P10000123223;Direto
P10000123224;Email
P10000123225;Google Ads
P10000123226;Busca orgânica
P10000123227;Busca orgânica
P10000123228;Busca orgânica
P10000123229;Google Ads
P10000123230;Google Ads
P10000123231;Email
P10000123232;Google Ads
P10000123233;Google Ads
P10000123234;Email
P10000123235;Google Ads
P10000123236;Busca orgânica
P10000123237;Google Ads
P10000123238;Direto
P10000123239;Outros
P10000123240;Busca orgânica
P10000123241;Outros
P10000123242;Google Ads
P10000123243;Google Ads
P10000123244;Google Ads
P10000123245;Google Ads
P10000123246;Busca orgânica
P10000123247;Email
P10000123248;Google Ads
P10000123249;Busca orgânica
P10000123250;Busca orgânica
P10000123251;Busca orgânica
P10000123252;Google Ads
P10000123253;Busca orgânica
